Gaia_Source_ID, Name
6463782431652157184, HD_202917
6466063059286755328, BS_Ind
4995853010350414976, HD_105
4688292532592267264, HD_987
4902014090966232576, CT_Tuc
4901802503697737984, HD_3221
4925565801832614528, BPM_16228
4909846496406798976, HD_8558
4916062035639629184, CC_Phe
5135093341825812480, DK_Cet
4743518527749625984, HD_12894
4743944038749857920, HD_13183
4714764477617543040, HD_13246
4695167125961452288, eps_Hyi
3261733198354195840, HD_20385
4832672015771008128, HD_22705
4891725754507903872, HD_29615
4622453089122285312, HD_32195
4819441454915310336, AS_Col
2883892177862480128, HD_40216
3116883777034077056, V1358_Ori
5265670758630806272, HD_49855
5208216946747136256, HD_55279
