Gaia_Source_ID,Name
153788485218973824,*Not_in_SIMBAD-10
958888218049307904,*Not_in_SIMBAD-11
468858352522112896,TYC_3726-849-1
555812787225057152,TYC_4518-1208-1
2176579066434689536,*Not_in_SIMBAD-12
399272602359320576,BD+46_417
1956049228976119296,*Not_in_SIMBAD-13
2848707947508369280,TYC_1730-1067-1
7632157690368,HD_18667
2753285147265431808,*Not_in_SIMBAD-14
525633147252251904,*Not_in_SIMBAD-15
2867940811060087040,*Not_in_SIMBAD-16
2838238707026809344,*Not_in_SIMBAD-17
992683254116841472,*Not_in_SIMBAD-18
1874966671694582656,TYC_1694-1459-1
1778811081310845184,TYC_1694-322-1
417636817371685760,*Not_in_SIMBAD-19
1799184890040415872,*Not_in_SIMBAD-20
