Gaia_Source_ID,Name
62948174562104448,GJ_140
62947354224986240,GJ_140_C
5492026740697659648,CPD-52_1153
5492026740697659264,HD_57853
5586184415378097792,HD_59704
5292834403845151488,HD_62850
5492744309474814080,HD_62848
5493209501673364736,HD_63008
5493209437253410432,CD-50_2948
5294069567720883968,HD_63581
5294069567720884480,HD_63608
5293984115052147968,HD_64185
5425628298649940608,CD-40_5404
3466924200065405184,HD_103742
3466924200065405824,HD_103743
1541667932396172800,HD_108574
1541667932396172416,HD_108575
2646280705713202816,BD+00_5017
2420563960807395072,BD-13_6464
