Gaia_Source_ID,Name
4995853014646189696,HD_105
2337191189529102336,HD_203
2745647973856851712,HD_377
378607281313491328,sig_And
4901229043960053248,HD_1466
2430102808294101760,HD_1461
2423493369021649920,9_Cet
4975414983273644032,HD_2834
418090121095577216,HD_2772
4900916679578514048,bet03_Tuc
2526580040189355136,HD_3126
2526790940262580864,HD_3296
4924930906883506560,HD_3670
2781872793183604096,64_Psc
2789007592856012416,66_Psc
313316116192345088,TYC2278-834-1
373208954099200768,V443_And
565525976023772288,HR_333
373349657227961472,HD_7590
2470272812780609280,2MASS_J01203226-1128035
396341196983414272,HD_8907
2451838022871837312,49_Cet
2477815222028038272,EX_Cet
4715896429133940352,HD_10472
4912580642524184960,HD_10647
305415678470300928,HD_10638
4912947570170211840,HD_10939
4714247024253568768,TYC8850-1468-1
97294345128598656,BD+20_307
5135093346121603712,DK_Cet
4714764481913306496,HD_13246
507237428667667584,TYC3698-2277-1
107774198474602368,HD_14082B
132362959259196032,AG_Tri
4967177781457918976,phi_For
457326850673147264,HD_15407
333649522164960256,HD_15745
4742097275828451584,HD_16743
126973904883932160,33_Ari
5125921632440161408,HR_826
4721400206385912960,HD_17848
123185851098826880,HD_19257
5166951386298774144,IS_Eri
447692105151371264,TYC3706-340-1
234475703643301120,HD_278507
249164423080454912,BD+47 837
5084963312478488960,HD_21997
121249198804944512,HD_22179
217788518747836160,TYC2359-1127-1
5116018880964324096,HD_23281
68293729514855040,TYC1799-73-1
4856592239127350400,HD_23484
65295425728422528,TYC1803-808-1
65222209423382912,HD_23361
243197098597337600,HD_23267
69872044096705664,HD_23430
66838452861270272,HD_282954
65212107660378880,V1210_Tau
65017627244152064,HD_23632
66729880383767168,V1229_Tau
4629074455519836032,HD_24636
66506331628024832,HD_23863
469919007590613888,HD_24141
4843613397714473088,HD_24966
3273790103563944064,HD_24817
53581782896908416,V1299_Tau
225668198891010560,50_Per
165954860556273280,HD_281683
229142694294045824,HD_27026
150461092453290240,chi_Tau
152668843080781184,HD_28447
147562470562750720,HD_283759
3205095125321700480,51_Eri
4867855155206070784,CPD-35_525
4895013367291153536,HD_30051
4880808810930787200,EX_Eri
4881312593414911616,HD_3044
4622453093418397952,HD_32195
3233364050307455232,TYC88-1288-1
3294429586085336960,HD_31295
3289902690554574464,HD_32297
285106461755654784,TYC4079-687-1
3409207536188836352,iot_Tau
3183723917812282368,TYC5323-272-1
4763906879239461632,zet_Dor
2982801155818453376,HD_33081
3408814357702682368,l_Tau
2961556048549735552,HD_34324
4819441459212276864,AS_Col
280036987300512256,16_Cam
4658542604142898816,TYC9162-586-1
2958833623399371392,HD_35841
3009908378049913216,AF_Lep
3217181021556478208,HD_290609
4808768293682969728,HD_36968
3416768877653289216,TYC1852-1694-1
2907397747897070336,HR_1915
3010113299530081664,HD_37306
2907308172059100544,HD_37484
3216488780204423808,HD_37564
2966779995793890560,HD_38207
2967287596507432704,HR_1975
3219847066672970368,HD_38529
4758877919212831104,HD_40307
196628623630412672,HD_39415
2889357751382351872,HD_40540
961428192989499904,HD_40979
3116883781327753216,V1358_Ori
5495052596695570816,AB_Pic
5194203331750283392,HD_53842
5480006192386819456,HR_2562
3380479015342121600,HD_50554
5479222240596469632,HD_53143
3101382419728401408,HD_52265
5559301562234018560,HD_54341
3362140260902553984,HD_57703
5586381090520538880,HD_59967
5592237639209047424,HD_61005
5209750494887019008,TYC9385-93-1
3078016904276926720,HD_70298
5322206718812246656,HD_71043
1031902077964410752,HD_70313
3066513435670258432,30_Mon
5643811086797924992,HD_72687
5528196343922685056,HD_73526
5755064487956174720,V401_Hya
1092545710514654464,pi.01_UMa
5209038595468151168,eta_Cha
5209037736474704512,EK_Cha
601994405893360768,50_Cnc
1017229679407710336,HD_75616
5297527909751086336,HD_76748
5325336379890628608,TYC8160-1896-1
610549499710989440,omi02_Cnc
5681062540747755776,HR_3638
579147000944785792,HR_3651
646255212109355136,HD_82443
5202978912010221952,HD_84075
794503773634723072,HD_84870
826522617385358720,HD_85301
647092490213961344,HD_85672
5406122859314206336,HR_3927
5255818795158038016,TYC8946-1580-1
747570290871415680,21_LMi
5358497306994484608,LW_Vel
5472450245399279744,TYC6623-942-1
5251255718823894912,HD_90874
756291174721509376,HR_4132
5239895633422585856,HD_92536
5444751795151480320,TWA_7A
5239656077327422336,HD_93738
5362093014940561792,TYC8203-154-1
5241745115057943936,TYC8962-532-1
5201331053317472000,TYC9410-532-1
856096765752993280,bet_UMa
3535397867233456768,HD_95698
5240646496774187392,HD_308379
5240643988513309952,HD_98363
856414421534060032,HR_4388
3481965141177021568,TWA_30A
5369414461016305408,HD_102458
3466950244747111808,HD_102902
5343610331876174336,HD_103234
3464333613231459456,HD_103266
5341470132513014272,HD_103703
6075374902576831616,HD_104231
6075374902576830208,HD_104231
5859187277060333184,HR_4597
1681330368961561984,HD_104860
6053245135151088512,eta_Cru
6126242639795170688,TYC8241-2652-1
6071348491003883136,HD_105613
6072504073402829056,HD_105857
3597946884714211200,HD_105912
6054195353727048960,HD_106036
6075815841096386816,CD-54_4621
3905603054348141440,HD_106252
6131118832116740992,HD_106389
5860789299912353024,HR_4669
6072902994276659200,HD_106906
5860587917472173056,HR_4692
6125889730915656832,HD_107649
6076435072302030976,CD_52 5008
5842473841306561408,HD_107947
3958951942642583936,HD_108874
6059507987719518976,HD_108857
3679690695155684480,f_Vir
5855753399177548416,HD_109832
6127782196588876160,HD_110058
3903402278745164672,rho_Vir
6055116297752190208,TYC8992-106-1
6075075594872297216,HD_110634
6060053001894433152,HD_111103
1465313756154175744,HD_111347
6079490168425944448,HD_111520
5857261551179958016,HD_112383
6073874172274613248,TYC8648-2098-1
6084425360726815360,HD_112810
1676282377934772608,HD_113337
6080177569354209024,CPD-52_6110
6086135822861167872,HD_113524
5862028930545927936,HD_113457
6057267492272814592,TYC8656-483-1
6057045425291352704,HD_113556
3943232534138172672,BD+21_2486
6067544696158250880,TYC8653-1256-1
