Gaia_Source_ID,Name
2860924621205256704,HD_166
4901229043960053248,HD_1466
2525514785221197696,HD_4915
2477815222028038272,V*_EX_Cet
350664155368182656,HD_10086
2498460442625153536,*_84_Cet
2498460442624555136,*_84_Cet_B
114832620743735808,HD_17382
5160075762132996992,HD_17925
5103349930031756928,BD-19_660
3256786534197166208,HD_25457
53112944270520832,*_39_Tau
493935296471302784,HD_25665
263916708025623680,HD_37394
263916742385357056,HD_233153
882872210352301568,HD_54371
3135225421986581504,BD+02_1729
3090083696499829376,V*_V478_Hya
646255212109355136,HD_82443
646255246469093248,HD_82443B
3864615459886222464,Wolf_358
3789271459953459328,HD_96064
761919883981626752,HD_97334
3528362367203258624,HD_108799B
3528362362908431616,HD_108799
3957887649746830976,HD_111395
1523645047031954944,HD_112733
1523644978312478976,BD+39_2587
3677911582262521728,V*_PX_Vir
1565867461768654208,HD_116956
3633065148665344384,BD-03_3527
5849837820492182272,*_alf_Cir_B
5849837854817580672,*_alf_Cir
1720995598827435648,HD_139777
1720995598827436928,HD_139813
5989102478619519616,*_g_Lup
4422809711989181824,HD_141272B
4422809716282811776,HD_141272
1772187382746856320,V*_HN_Peg
6564091190988411520,HD_207129
2005798350576886144,HD_211472
6628926642897745664,*_ups_Aqr
2282846074981011328,HD_220140B
2282846074981010688,HD_220140
2282790893241302144,LP_12-90
