Gaia_Source_ID,Name
5506916911277010304,HD_58474
5511869382227723520,HD_58741
5511888318742538368,HD_59356
5506179787510517120,HD_59618
5493443701948812800,HD_61031
5506734014391160320,HD_61290
5535160925449552896,HD_61946
5535394155060356480,CCDM_J07427-4234AB
5530524662877633792,HD_62755
5489688938459960064,HD_62941
5530857333865783680,HD_63343
5530633338431490176,HD_63449
5530644887602904576,HD_63578
5532453549872367744,HD_63806
5295639013192061184,HD_64067
5518198686554903808,HD_64249
5532548142233447424,V*_QU_Pup
5535675359461162112,HD_64403
5518185324916384896,HD_64578
5488339734612857984,V*_V372_Car
5531120769973058816,HD_64716
5534177137430647424,HD_64827
5534323509916028928,HD_65315
5533800348538743040,HD_65383
5517856978956504960,HD_65598
5517189545338449664,HD_65774
5517171678268362880,V*_V_Pup
5517546268143374592,HD_66022
5518646466966967296,V*_V410_Pup
5519161034111001216,HD_66105
5513992818359757696,HD_66284
5519139151248679680,HD_66235
5532798865247821568,HD_66253
5533023543575394816,HD_66252
5517531012419724160,HD_66463
5513811055342280448,HD_66522
5518776823514703104,HD_66705
5517689509593432192,HD_66765
5517517504739622016,HD_66971
5520802059518750976,HD_67061
5520413038558513280,HD_67269
5517963803381256704,HD_67314
5519466187246071552,HD_67341
5520328032564432256,HD_67416
5514646168789413504,HD_67621
5520836213099299328,HD_67557
5517656837782772608,HD_67705
5513337956104974208,HD_67848
5520509074022306944,HD_67890
5533683078751802624,HD_67906
5520748698844306304,HD_67981
5514335969070196736,V*_KW_Vel
5516167755443050368,V*_IS_Vel
5533290621824556672,HD_68242
5521211284002901248,HD_68270
5521156544632694016,HD_68271
5519594142913175680,HD_68697
5519406225201035008,HD_68895
5519817000179239424,HD_69302
5539877314943116672,HD_69298
5519364860379766528,HD_69404
5520234780237366912,HD_69710
5521103871151204864,HD_69821
5516241865093899264,HD_69934
5516327390789584256,HD_69952
5516025128170015744,HD_69973
5516271693651928064,V*_IT_Vel
5516475270795956480,HD_70643
5515197573870551680,*_B_Vel
5526008418873414016,HD_70872
5319795902130919296,HD_71318
5515511273979880064,HD_71364
5516568836674402944,HD_71444
5525983336254652672,HD_71470
5322340618713256448,HD_71804
5322594610203856384,HD_71898
5515664866317381376,HD_71874
5515769182486803968,HD_71984
5515464136727687296,HR_3358
5515459154565888640,HD_72067
5521696267400472448,HD_72253
5522739467725797504,HD_72555
5522800902939194624,HD_72919
5321946722978619008,V*_V451_Vel
5523173740460510976,HD_73127
5323184326396291200,HD_73059
5523138139461459584,HD_73286
5329103272372395136,HD_73700
5329103272362889472,HD_74436
5329520983716610560,HD_75064
5329520743198566784,HD_75129
