absolute_g_mag, bp-rp, mass
12.804,3.782,0.108
12.527,3.622,0.12
12.52,3.618,0.12
12.255,3.509,0.134
12.136,3.46,0.14
11.815,3.296,0.16
11.46,3.114,0.187
11.306,3.037,0.2
10.822,2.821,0.25
10.438,2.672,0.3
10.152,2.576,0.341
10.09,2.556,0.35
9.749,2.444,0.4
9.099,2.222,0.484
9.012,2.193,0.496
8.986,2.186,0.5
8.969,2.18,0.502
8.92,2.164,0.507
8.688,2.081,0.529
8.455,2.002,0.55
8.277,1.972,0.565
8.105,1.91,0.578
7.838,1.694,0.595
7.788,1.673,0.6
7.245,1.423,0.65
7.148,1.383,0.669
7.06,1.352,0.69
6.985,1.326,0.7
6.571,1.192,0.75
6.476,1.166,0.764
6.272,1.112,0.792
6.211,1.096,0.8
5.866,1.01,0.85
5.78,0.991,0.863
5.55,0.935,0.9
5.26,0.87,0.95
4.887,0.793,1.017
4.77,0.77,1.04
4.723,0.76,1.05
4.473,0.714,1.1
4.37,0.693,1.119
4.228,0.667,1.15
4.002,0.628,1.2
3.787,0.588,1.25
3.584,0.552,1.3
3.393,0.515,1.35
3.214,0.476,1.401
3.047,0.435,1.451
2.888,0.388,1.5
2.738,0.337,1.55
2.596,0.285,1.6
2.463,0.238,1.65
2.339,0.191,1.7
2.224,0.149,1.749
2.117,0.112,1.799
2.019,0.081,1.849
1.927,0.056,1.9
1.915,0.053,1.906
1.84,0.033,1.95
1.758,0.0139999,2.001
1.681,-0.00300002,2.05
1.606,-0.018,2.1
1.534,-0.031,2.149
1.464,-0.0419999,2.199
1.435,-0.048,2.22
1.395,-0.0530001,2.249
1.328,-0.064,2.299
1.2,-0.08,2.399
1.199,-0.081,2.4
0.956,-0.11,2.601
0.944,-0.112,2.611
0.727,-0.134,2.801
0.511,-0.153,3.001
0.464,-0.157,3.046
0.308,-0.171,3.197
0.304,-0.171,3.2
0.103,-0.186,3.399
-0.082,-0.199,3.587
-0.094,-0.2,3.599
-0.188,-0.206,3.695
-0.29,-0.212,3.799
-0.338,-0.216,3.849
-0.487,-0.223,4.002
-0.496,-0.224,4.01
-0.631,-0.229,4.14
-0.694,-0.231,4.199
-0.721,-0.232,4.225
-0.841,-0.236,4.336
-0.911,-0.238,4.398
-0.948,-0.239,4.433
-1.049,-0.24,4.518
-1.146,-0.242,4.596
-1.149,-0.241,4.599
-1.289,-0.242,4.708
-1.409,-0.24,4.793
-1.418,-0.24,4.799
-1.534,-0.238,4.876
-1.681,-0.233,4.966
-1.743,-0.23,5
-1.82,-0.227,5.042
-1.948,-0.221,5.105
-2.081,-0.213,5.166
-2.166,-0.208,5.201
-2.2,-0.205,5.215
-2.329,-0.199,5.27
-2.333,-0.198,5.272
-2.344,-0.205,5.289
-2.333,-0.215,5.299
-2.305,-0.226,5.303
-2.282,-0.236,5.305
-2.266,-0.247,5.306
-2.257,-0.256,5.307
-2.254,-0.258,5.307
-2.234,-0.252,5.307
-2.227,-0.244,5.307
-2.257,-0.232,5.307
-2.327,-0.22,5.308
-2.422,-0.208,5.308
-2.523,-0.196,5.308
